Document_Number,Content,date
24,"UP CM Mauritius-bound after rolling out red carpet to US firms Lucknow, Oct 29 () After rolling out the red carpet to American companies interested to invest in Uttar Pradesh, Chief Minister Yogi Adityanath is set to travel to Mauritius this week to invite NRIs to the state. The chief minister will be on a three-day visit to Mauritius from November 1, during which he will participate in the Pravasi Bhartiya Diwas, a mega event to woo investors, a senior state government official said today. Adityatnath is also likely to invite people of Indian origin to participate in the NRI Diwas to he held in Lucknow in March next year. During his stay in Mauritius, the chief minister will meet NRIs and explore possibilities for investment in Uttar Pradesh, the official said. He will also apprise them of the steps taken by his government to facilitate investors in the state and the measures taken in this regard. Adityanath recently met representatives of more than two dozen US companies exploring investment opportunities in the state. The state's economy will act as a backbone to strengthen the India-US ties, Adityanath said, assuring the US firms his government's commitment to providing an investor-friendly environment. The 50-member delegation, representing 26 major US firms, had met the chief minister here under the aegis of US-India Strategic Partnership Forum (USISPF). Led by Boeing, the delegation that included major US firms such as Facebook, Adobe, Coca Cola, Mastercard, Monsanto, Uber, Honeywell, P&G;, Oracle and GE Health and Cargill has shown keen interest in investing in the state. They had a threadbare interaction with state cabinet minister Siddharth Nath Singh, who welcomed them to UP ""to fulfil BJP's 'Sankalp Patra' by creating employment opportunities through your investment"". The ""US in UP"" engagement emulated the ""Vibrant Gujarat"" model and showcased the state's investment avenues in chemicals, petrochemicals, pharmaceuticals, cement, gems, textiles and engineering sectors. Singh told the visiting team that ""Yogi Adityanath government's narrative is different from the previous governments"". ""We will give you a red carpet welcome in the true spirit of Atithi Devo Bhava (Guest is equivalent to God),"" he said. For ease of doing business, the chief minister said, a single-window system has been set up under his office's supervision through which prompt clearances are granted to investors. Uttar Pradesh has recently come up with an Industrial Investment & Employment Promotion Policy to stabilise and make existing industries more competitive and to attract international and national investments in the industrial sector. Official sources said the state government has decided to organise a Global Investors Summit here on the lines of BJP- ruled Gujarat and Madhya Pradesh. The state government plans to combine the conclave with an event for NRIs in which prominent NRIs from Uttar Pradesh will be invited to interact with business and industry leaders. The state has been organising a UP Pravasi Diwas for the past two years in an effort to strengthen the NRIs' bond with the state and seek their help in its development. The idea now is to organise this event like a fair where NRIs's hailing from UP will be invited to Lucknow and encouraged to invest in various industrial and business opportunities offered by the state as part of a new industrial promotion policy announced by the UP government. The fair will be combined with the Global Investors Summit where the NRIs will get a chance to directly interact with the invited national and international business leaders. The government expects the joint event to attract investment from both the NRIs as well as the business leaders. A date for the events will be announced soon, the sources added. SMI ABH",29/10/17
25,"Chennai police thwart Marina2.0 protest move CHENNAI: Marina Beach in Chennai was deserted on Tuesday evening after a #Marina2.0 hashtag started trending on social media forcing the city police to be up on their feet to thwart any sort of gathering given the experience of the mass students uprising for jallikattu in January.A large posse of policemen were deployed on the Kamarajar Salai after messages about a protest spread on Twitter, Facebook and WhatsApp groups calling out to youngsters to congregate once again on the beach on Wednesday morning, this time in support of farmers. A few of them even assembled on the beach on Tuesday evening, only to be chased away by cops who called this a rumour.The police picked up four people from the beach for questioning. They have been identified as Rajapandian, 31, of Tiruvallur, Samuthradevi, 35, of Alandur, Manikandan, 28 of Trichy and Leo Nelson, 32 of Chromepet. Rajapandian and Manikandan told the police that they had come to Marina Beach to participate in the protest, while the other two said that they were usual visitors to the beach. Police let them go after an inquiry. Hundreds of vendors had also kept away from Marina Beach.Deputy commissioner of Mylapore V Balakrishnan told TOI that such rumours affected the normal life of the public visiting the beach and those running shops. \Those spreading such unnecessary rumours will face legal action, he said.Debt-ridden and drought-hit Tamil Nadu farmers have been protesting at Jantar Mantar in New Delhi since mid-March, in different ways, to draw attention to their plight.",28/3/17
26,"Police take JNU student on hunger strike to�hospital Delhi Police Monday allegedly forcefully picked up JNU student Dileep Yadav, who has been on an indefinite hunger strike since Friday, and took him to AIIMS.The JNUSU said, Dileep was forcefully picked up by Delhi Police. Let us march to Vasant Kunj police station to ensure his return to campus. Yadav is among the nine students suspended by the administration for disrupting an Academic Council meeting.But DCP (south) Ishwar Singh said he was not moved forcefully. Seeing his critical health condition, he was shifted to the hospital in the universitys ambulance, he said.",23/1/17
27,"Govt mulls flexible NH toll plan to commuters benefit NEW DELHI: The government is considering offering a ""rolling contract"" for road development that will see toll collection end ahead of the contracted period if the investment and profit has been recovered, in order to blunt criticism that surfaced over Delhi-Noida-Direct (DND) flyway and Delhi-Gurgaon projects. Conversely, the contract period may be extended if the contractor, due to certain circumstances, is unable to recover expected dues. Though the proposal offers some succour to contractors, NHAI will reserve the right to take over the project to stem public opposition over ""super profits"". The ministry had a detailed discussion on this model-variable build operate and transfer (V-BOT)-on Saturday. Cases like that of DND and other highway projects where contractors are a llowed to collect toll for years have prompted the government to explore this new public-private partnership (PPP) model for road construction.  There have been several instances of protests in states including Delhi, UP and Maharashtra against the existing practice. Even a parliamentary committee had pointed out this flaw while examining the contract period and total toll collection on the Delhi-Gurgaon Expressway.  ""The real-time toll collection in each project rolled out under V-BOT will be verified using the electronic toll collection data and other IT-enabled assessments, the parametes of which will be defined clearly,"" said a ministry official. Under this model, the projects will be bid out on the basis of total cost (including construction, financing, operation and maintenance) for a defined contract period. The lowest bidder will get the project and will build, operate and collect toll.  ""If toll collection increases beyond the projection due to high traffic growth, the contractor will recover the cost before the quoted period and NHAI will terminate the contract. NHAI will then collect toll to recover the land cost. When that amount is recovered, toll will be slashed by 40%,"" another official said. All such projects will compulsorily have 100% electronic toll collection, installation of automatic traffic count and classifier system, video image detection and other systems.  The model has been conceptualised to address all the risk factors, another official said.",19/11/17
28,"Leuva Patels stake claim to world record in singing national anthem KAGVAD (RAJKOT): Leuva Patels who congregated at Khodaldham temple in Kagvad village of Rajkot on Saturday staked claim to entering the Guinness World Records for the highest number of people singing a national anthem simultaneously at a single venue. The official representative of Guinness World Records confirmed that the number of people who sang the national anthem at Kagvad had crossed the current record held by Dhaka, Bangladesh, where 2.54 lakh people sang national anthem in March 2014.According to officials of Shree Khodaldham Trust, an estimated 3.5 lakh people sang the national anthem on Saturday. However, the exact number will be known on Sunday as participants were being enumerated manually.The record was created during the idol installation ceremony of deity of Leuva Patels 'Maa Khodal' in presence of community leaders from all walks of life. Eminent leaders present included former chief ministers Keshubhai Patel and Anandiben Patel, Congress leader Shidharth Patel, NCP leader Praful Patel, BJP state president Jitu Vaghani, VHP leader Pravin Togadia, industrialists Pankaj Patel, Karsan Patel and Govind Dholakia, among others. ",22/1/17
29,"Aasu forms human chain to protest Brahmaputra contamination GUWAHATI: More than 300 students from various academic institutions in the city came together to form a human chain at Uzanbazar Ghat in protest against the government's ""inaction"" on the contamination of the Brahmaputra. The protest was organized by the All Assam Students' Union (Aasu).""BJP came to power in the state with a promise to protect jati, mati, bheti (community, land and homestead). We are highly dissatisfied with the role of the ruling government as they haven't shown any promptness in trying to unearth the causes behind this serious calamity,"" president of the All Guwahati Students' Union Rajmil Ali said.Soon after reports emerged of the waters of the Siang river in Arunachal Pradesh turning black, the Brahmaputra was also found to be turbid. The Siang is the principal constituent of the Brahmaputra. It joins the Lohit and Dibang rivers to form the Brahmaputra. A large section of Assamese population is dependent on the Brahmaputra for day-to-day activities. Last week, the government admitted that the water is unfit for drinking.The student body demanded that the Centre expedite talks with China to resolve the matter. Construction work by China is believed to have polluted the waters though it has denied having any role.Aasu has already demanded Prime Minister Narendra Modi's intervention into the issue. The Assam government has sent samples collected from the Brahmaputra river to the Indian Institute of Chemical Technology (IICT)-Hyderabad and IIT-Guwahati to unearth the causes behind the river water turning muddy and black.",12/12/2017
30,"Bengaluru: Hundreds march on Borewell Road against government s apathy  BENGALURU: More than 200 residents of BBMP s Mahadevapura Zone walked peacefully this morning on Borewell Road in Whitefield, demanding restoration of the road and civic amenities.Citizens marched the 1.5 km stretch from the post office to the Ambedkar statue, while around 200 children and residents stood with placards in solidarity for the cause.Organised by Nallurahalli Rising along with Whitefield Rising, the protest in Hagadur ward drew people Kadugudi, Garadacharpalya and Hoodi wards.Led by a band of drummers and accompanied by a contingent of police, traffic police and traffic wardens, the protesters held placards, wore black and donned masks, to symbolise the pathetic condition of one of Whitefield s oldest roads.The reasons for the protest are many: poor road conditions, garbage strewn roads, fatal accidents due to water tankers that even the police cannot seem to control and all this in Nallurahalli and Whitefield itself.",15/2/17
31,"OBC groups protest delay in granting ST status DIBRUGARH: Expressing displeasure over the delay in granting Scheduled Tribe (ST) status to the state's six OBC communities, members of the All Tai Ahom Students' Union (ATASU) took out a huge protest rally in Dibrugarh town on Friday. Hundreds of protesters marched through the main thoroughfares of the town holding placards and banners before converging in front of the deputy commissioner's office.The protest continued at the site for nearly two hours as the agitating members raised slogans against the Centre and the state government for the delay in according the promised ST status to the six communities - Tai Ahom, Moran, Motok, Chutia, Koch Rajbongshi and Adivasi (tea workers' community of Chotanagpur origin). The protesters dispersed after submitting a memorandum to deputy commissioner Laya Madduri addressed to Prime Minister Narendra Modi.Granting of scheduled tribes status to the six communities of the state was a political promise of the BJP. While campaigning in the state in the run-up to the 2014 Lok Sabha elections, Modi himself had spoken about it at public rallies. The promise was reiterated during the state assembly election campaign Modi as well as present chief minister Sarbananda Sonowal. The previous Tarun Gogoi-led Congress government in the state was also in favour of granting ST status to these communities.Union minister of state for social justice and empowerment Ramdas Athawale during his recent visit to Guwahati said the Centre was committed to its promise. The bill to grant ST status to the six communities can be introduced in the Parliament after the National Commission for Scheduled Tribes recommends the proposal submitted by the state government, Athawale had said.As per an estimate, if the six communities are awarded ST status, Assam will officially become a tribal state as over 50% of the state's population will fall under the ST category. The number of assembly seats reserved for STs is also expected to jump from the existing 16 to about 80 in the 126-member state assembly by fresh delimitation of assembly constituencies.Currently, 102 seats are general seats, 8 are SC reserved seats and 16 are ST reserved seats. A tribal-majority state is seen by many as the only solution to combat the illegal immigration problem from Bangladesh which has hit the state's fragile demography.However, existing ST communities in the state have come out strongly against the move as they fear that the six communities, which are more academically and economically well-off in comparison, will walk away with the advantages of reservations in education and employment sectors if they are accorded ST status.",28/10/17
32,"Demand for Kambala: Hours after protest, Karnataka says will amend�law HOURS after nearly 10,000 people led more than 150 buffaloes in a protest march in Moodbidri area of Dakshina Kannada district in coastal Karnataka on Saturday to demand legalisation of Kambala, a traditional buffalo-racing sport popular in the region, the Karnataka government said it would amend the Prevention of Cruelty to Animals Act to pave the way for it. The Cabinet has decided to move a draft Bill in the legislature session scheduled from February 6 to February 10. It will allow Kambala and bullock-cart racing, which will be enabled by amending the Prevention of Cruelty to Animals Act and therefore considered a normal traditional sport, Law and Parliamentary Affairs Minister T B Jayachandra told reporters. Kambala was being held for nearly 600 years and does not cause any cruelty to animals, he said, adding that not a single death had taken place due to the folk sport in recent years.Earlier, CM Siddaramaiah said the government would take steps to ensure that a popular and cultural event such as Kambala was held, as per peoples wish. He also asked for the Centres support in view of the protests. While the organisers of the protest on Saturday, under the Dakshina Kannada Kambala Samiti, had intended to hold a Kambala race to defy a November 22, 2016, Karnataka High Court order staying holding of the sport, local authorities dissuaded the organisers against violating the court order.Kambala committees have filed an interim application seeking vacation of the stay; the matter is up for a hearing on January 31. Among those who participated in Saturdays protest, which demanded an ordinance on the lines of the Jallikattu ordinance in Tamil Nadu to legalise Kambala events, was local Congress MLA Abhaychandra Jain and BJP MP Nalin Kumar Kateel. Jain leads a Kambala committee in Moodbidri.Saturdays march covered a 3-km route near Moodbidri-Karkala national highway and concluded at Kadalakere Nisargadhama. Speakers said Kambala should not be viewed as a sport involving violence against animals but as a cultural practice linked to agriculture.",28/1/17
33,"Classical Kannada centre will be retained in Mysuru: CIIL director MYSURU: The row over the shifting of Centre of Excellence for Studies in Classical Kannada from CIIL (Mysuru) to Bengaluru has finally ended with CIIL authorities deciding to retain the centre in Mysuru.A decision to this effect was announced by CIIL (Mysuru) director prof D G Rao during the inauguration of a two-day workshop on ‘Visioning workshop and project preparation’ being organized by Centre of Excellence for Studies in Classical Kannada (CESCK) at CIIL auditorium from Monday. “The centre will be retained in Mysuru. It will be temporarily housed in University of Mysore campus, and will be shifted to an independent building later,” he said.“There are two groups of intellectuals — while one wants the centre shifted to Bengaluru, the other wants it retained in Mysuru. Recently, the issue was resolved during Planning and Monitoring Division (PMD) meeting, where it was unanimously decided to retain the centre in Mysuru. University of Mysore has given a temporary building where the centre will start its activities. When the land is allotted and a separate building is built, the centre will be relocated to the new facility, where it will work with an autonomous status,” he said.Speaking on the status of other language centres in the country, Rao said that Kannada classical language centre is the second centre which was established after the Tamil centre. For Telugu, the centre was allotted when Andhra Pradesh was united.“As the state has now been split into Telangana and Andhra Pradesh, MHRD will decide where the centre will to be established. For Oriya language, the state government has agreed to allot a space for the centre, and the related work will start soon. Authorities from Kerala government have not approached for a Malayalam language centre. If they approach, we will work out the modalities for that too,” Rao said.Rao suggested that Kannada centre authorities should invite experts from various branches of Kannada language and sit together to chalk out plans so that the plan can be explained before the ministry and funds can be allotted in the budget.Speaking on the occasion, Central University of Karnataka (Kalaburagi) vice-chancellor H M Maheshwaraiah said that the state government should appoint a liaison officer to chalk out plans and demand funds from the central government for the centre.Maheshwaraiah, who had earlier worked as CESCK director, said: “A roadmap to fill sanctioned non-teaching posts, to translate Kannada literature into English and other regional languages, to start a Kannada journal, to recommend writers who are working for Kannada language and literature in India and abroad for the President of India Award, to digitalize works and to draft an action plan for central funds should be prepared by experts during workshops.”Kannada Development Authority (KDA) chairman S G Siddaramaiah said that issues pertaining to the classical-language status to Kannada and NEET are clear examples of power politics.“Indian Constitution speaks equality of all regional languages. But due to politics, the central government awarded classical status only to Tamil language. But only when other states protested, the status was awarded to Kannada, Telugu and Malayalam. Similarly, students were denied to write in Kannada NEET initially. But after protests, students were allowed to write the test in Kannada. No MP from the state raised their voice on the issue in Parliament. Politics should never interfere in matters regarding languages, water and land,” he said.Senior Kannada scholar T V Venkatachala Sastry said that all the 15 branches in classical Kannada centre have been grouped under separate units, where small- and medium-term research are taken up. The time frames of research are in the range of three months to three years.",28/2/17
34,"Arunachal's Siang river turns muddy, Centre begins probe GUWAHATI: The centre has confirmed that the Siang River in Arunachal Pradesh has become black and muddy beyond the McMohan Line, the imaginary boundary between India and China, from where the river flows as Yarlong Tsangpo, but the cause is yet to be ascertained.A central government source said that PMO has stepped into the water monitoring process and fresh samples of Siang’s water and soil from its river bed and banks have been sent to Central Water Commission’s advanced laboratory in New Delhi test for toxic content. Tests are also being carried out to find presence of bacteria that consume all the dissolved oxygen, leaving nothing for aquatic life to survive following reports of deaths of large number of fish.Union minister of state for home affairs Kiren Rijiju, a native of Arunachal Pradesh, tweeted on Friday, “Govt of India has been continuously tracking & assessing the Siang (Brahmaputra) river flowing pattern from the day one. The concerns of the people are genuine. The cause of water becoming muddy & black beyond McMahon line is being ascertained.”Reacting to people burning his effigy in Assam, Rijiju in another tweet said, “Why are some people burning my effigy in Assam? Brahmaputra (Siang) is a sacred river for us. We will inform & make official statement only after getting accurate information of the cause from across the border.”The effects of Siang has spread to Brahmaputra in Assam. The Siang along with other tributaries combine to form the Brahmaputra in Assam. Chief minister Sarbananda Sonowal said, “Our lab tests have found presence of virus and bacteria in Brahmaputra river,”The Chinese state-run daily Global Times last week quoted an environmentalist denying Chinese hand in polluting the Siang, saying the river and Arunachal Pradesh was part of Chinese territory and China could not pollute its own river.The source said that external affairs minister Sushma Swaraj is expected to take up the issue diplomatically when she meets Chinese foreign minister Wang Yi in New Delhi on the sidelines of the 15th Russia, India and China (RIC) Foreign Ministers' meeting on December 11. “The condition of Siang’s water is same, black and muddy and there seems to be let-up. Locally the high turbidity has been ascertained but we don’t want to take any chances and so further tests for toxic content is being done in New Delhi. These tests take time. Tests for biochemical oxygen demand (BOD) are also being done. The amount of dissolved oxygen is vital for aquatic life. BOD levels can go down if there are presence of bacteria that consume the dissolved oxygen, and make it difficult for fish and other aquatic organisms to survive,” the source said.",8/12/2017
35,"Six poachers strike CV Ramana's house, steal 2 sandalwood trees BENGALURU: A gang of six armed poachers stole two sandalwood trees from a Malleswaram house which was once home to Nobel laureate and scientist CV Raman. The miscreants entered the premises in the wee hours of Saturday when the security guards were half asleep.Located in 5th Cross, Malleswaram, the British-era house is maintained by a government-constituted trust. Two security guards are deployed at the building round the clock; they work in 12-hour shifts.Security guards Gangadhar and Srinivas were resting in the front veranda when the poachers barged in around 3.30am, police said. They told Malleswaram police the miscreants walked in through the old gate. “We were half asleep when we heard a noise at the gate and saw two men walking towards the veranda. We shouted at them, asking them what they were doing on the property,” they said.But instead of replying, the machete-wielding duo rushed towards the guards, police said. “First, we thought they were robbers who had come to loot us. But then we saw four more men walking in. All of them had their faces covered,” Gangadhar said.As the duo held Gangadhar and Srinivas at machete-point, the other gang members walked towards the left of the house and began cutting a sandalwood tree with an electric saw.“In less than 20 minutes, they axed two trees and cut them into four logs. One of them ran back to the gate and reversed the Maruti Omni that was parked outside. The van entered the premises and the men transferred the logs to the vehicle. The duo who had been threatening us rushed towards the van and sped away,” the guards said.The next morning, the guards approached Malleswaram police. “Two trees have been chopped; one measuring 18 feet and the other 16 feet. Unfortunately, there are no CCTV cameras inside the heritage building. We will collect CCTV footage from the surrounding buildings,” a senior police officer said, adding, “It’s the handiwork of habitual offenders. We have asked the security guards to explain the miscreants’ physical appearances so that we can match the sketches with the poachers we had arrested earlier,” police said.Cops said they have submitted the measurements to the forest department to ascertain the exact value of the trees.",12/11/2017
36,"Day after BHU violence, 15 current, ex-students booked for rioting, arson A DAY after students of Banaras Hindu University (BHU) went on a rampage on campus protesting the arrest of a member of the BHU unit of the Samajwadi Chhatra Sabha, 15 current and former students, were booked on charges of rioting and arson on Thursday. No arrests have been made yet.Around 30 students had gone on rampage, setting several vehicles and a bus on fire, manhandling university staff and those present at the Kashi Vishvanath Temple as well as damaging doors of ATMs. They were allegedly protesting against the arrest of SP student wing leader Ashutosh Singh. On November 10, Singh was arrested for creating a ruckus at the IIT-BHU campus for protesting against a fest that he claimed promoted obscenity.An FIR on charges of rioting and arson and damage to public property has been registered We have not detained or arrested anyone so far, said Varanasi IG Deepak Ratan.The FIR was lodged on the basis of a complaint filed by the BHU Chief Proctor Royana Singh on Thursday. It named 15 current and former students, describing them as actors in Wednesdays violence.Police said they are trying to verify all the names submitted by the university administration before making arrests. We are facing delays due to technical difficulties in receiving the CCTV footage the students have broken the cameras. We do not want to pick up anyone without being entirely sure, said a police officer.Condemning the vandalism, Samajwadi Chhatra Sabha state president Digvijay Singh claimed it was an attempt to malign the student wing. This is a conspiracy to give us a bad name. Ashutosh is an old member of the Sabha but he was supposed to be replaced by a new leader last year, he said while maintaining that he was not touch with the BHU unit of the Chhatra Sabha.The Samajwadi Chhatra Sabha never supports any act of protest, which will hurt the people, he added.",22/12/17
37,"Tamil Nadu may go ahead with jallikattu by making a law having provisions to address element of cruelty NEW DELHI: The Centre on Thursday expressed its inability to promulgate ordinance over the issue of jallikattu citing the matter being sub-judice, but it assured Tamil Nadu government of its support if state takes any step to hold the banned bull taming sport while adhering to certain dos and don’ts to address the element of cruelty.Assurance of the centre, which has been sympathetic to the state’s view against the ban on Jallikattu, came during the meeting between Prime Minister Narendra Modi and Tamil Nadu chief minister O Paneerselvam here. It is learnt that the Centre would take any step from its side only after the Supreme Court’s final call on the issue.Tamil Nadu has, however, all rights to make a law allowing Jallikattu as sports is a state subject under Indian constitution. In that case, the state law will have to address the element of cruelty in the sport and impose strict punishment and penalty or both for any violation.“While appreciating the cultural significance of Jallikattu, the Prime Minister observed that the matter is presently sub-judice. The Centre would be supportive of steps taken by the state government”, tweeted the PMO after the meeting where the issue of drought in the state was also discussed.Tamil Nadu is learnt to have sought a relief of Rs 39,565 crores for tackling the severe drought in the state following failure of monsoon for two consecutive years.The PMO said, “The Prime Minister also assured the chief minister that all possible assistance would be provided to the state to address the drought situation, and a central team would be deputed to the state shortly”.As protests demanding the lifting of the ban on bull taming sport jallikattu spread across Tamil Nadu, Panneerselvam rushed here to meet the Prime Minister with a request for ordinance.“We will soon take steps with the backing of the Centre for the holding of the sport. You will soon see (the steps). All is well that ends well. Wait, good will happen,” Panneerselvam said after his meeting with the Prime Minister.The chief minister, however, did not elaborate on the next step. Though he was supposed to return to Chennai on Thursday itself, he cancelled his return and held discussions with legal experts. The chief minister is understood to have discussed the option of ordinance and sought opinion whether it could sustain in the face of the Supreme Court being seized of the matter.Speaking about how the impasse can be broken, Attorney General Mukul Rohatgi told a TV news channel that the state can pass its own law.“Sports falls within the domain of the state, it does not fall within the domain of the Centre. Cruelty to animals falls within the domain of the Centre and that is why there is an act on it. So, if the state is desirous of allowing or promoting this sport, the state must bring out a law, if it so chooses. And the law must concern and take into account all the concerns of cruelty”, Mukul Rohatgi told the news channel.He said, “If the state drafted law addresses the issues of cruelty, it will still be challenged in the Supreme Court, but the apex court cannot say that a state cannot have its own law.”The state can, accordingly, go ahead with jallikattu by making appropriate law which may have provisions of addressing the cruelty aspect of the animal sport. Such provisions must include certain dos and don’ts like not indulging in any kind of cruelty like throwing stones, using knives or hitting the bull. The People for Ethical Treatment of Animals (PETA) India, which had challenged in the Supreme Court the Centre’s last year’s notification lifting ban on jallikattu, meanwhile, said it may take the legal route if the Centre brings an ordinance to enable the conduct of Jallikattu.“Our campaign is against cruelty towards all animals. We will consult our lawyers and take a decision if there is an ordinance,” said Manilal Valliyate, director of vetrinary affairs of the PETA India.Insisting that the organisation will continue its campaign to create awareness against the holding of the bull-taming sport in Tamil Nadu, he told the TOI: There are various other humane conservation methods to protect the indigenous breed. Jallikattu is not the only way.",19/1/17
38,"Security beefed up following protest against church at Sulthanpettai Tirupur: Police beefed up security at Sulthanpettai after a group of villagers staged a protest against a church in the area. The Madras high court had directed the district administration to allow the religious establishment to function. As the villagers began to protest against it’s operation, more than 100 shops were shut in the area. A group of people had started the church on Palladam-Pollachi Road in Sulthanpettai in Coimbatore district a few months ago, a police officer said. People from dominant communities in the village, which has more than 200 houses, took offence to its operation. As the resistance grew, both the sections took it to the court. The HC heard the matter and disposed it in favour of the church authorities. The church was allowed to function from Sunday. However, the protesters shut down shops to show their dissent. However, a senior police official told TOI, The shops were shut because it was a Sunday. It has nothing to do with the protest. We have arranged extra force to comply with the HC order. TNN",19/11/17
39,"Aero India 2017: Govt's approach on defence FDI rational, studying each case, says�Parrikar The government will adopt a rational approach to foreign direct investment in the defence sector keeping in mind the concerns raised by some sections of the Sangh Parivar, defence minister Manohar Parrikar said here on Tuesday. The minister was replying to a question relating to concerns expressed by the Swadeshi Jagaran Manch on the FDI policy in the defence sector in India on the sidelines of the inauguration of the 11th Aero India event.Parrikar said the government would allow 100 per cent FDI only in areas where technologies are non-existent in India. He said that in a family, there is bound to be differences of opinion.We will take concerns into consideration and will not damage any national interest. We are doing it in a rational way after studying each case, the defence minister said. I will welcome 100 per cent FDI in areas where we dont have expertise, he said. We are not doing it irrationally but the route is open, he said.The Swadeshi Jagaran Manch had staged protests around the country last year against the governments FDI policy in various sectors including the defence.Parrikar said that India would need a total of 1,000 aircraft in the next 10-15 years. There may be 300 to 400 fighters required, another 800 to 1,000 helicopters are required. Helicopter engine requirement alone in the next few years is going to be 5,000 engines for new as well as replacement. LCA itself will need 123 multiplied by three or four. All this is huge potential for Indian companies, the defence minister said.The government will be taking decisions on big ticket acquisitions including single and twin engined fighters in the current calendar year. Many private sector projects like self- propelled gun, C-295 (transporter aircraft) and single and twin-engine fighter jets are in an advanced stage of decision making, Parrikar said.On the fifth generation fighter to be developed with Russia, Parrikar said the project is in an advanced stage of finalisation but a few issues need to be addressed. Some issues need to be addressed with respect to manufacturing after completion  how it will be exported, what will be the approvals and what is the mechanism. We have already put a team to go into these issues. In a month or so they will put out a report. Everything otherwise is in quite an advanced stage, he said.The minister for civil aviation Ashok Gajapathi Raju who shared the dais with the defence minister said India is the fastest growing aviation sector in passenger terms in the world. The sector has the potential to graduate from the ninth in the world to being the third largest by 2022, he said.The 11th edition of the Aero India event got off to a subdued start on Tuesday. With no major acquisitions on the cards for Indian forces the air show unlike previous years is quite a low key.The Sukhoi 30 MKI, the Gripen fighter from Swedens SAAB, Indias LCA Tejas, Lockheed Martins F-16 Falcon from the US and the French Rafale are the main attractions. The Yakovlev aerobatic team, the Skycats, the Surya Kiran aerobatics team returning to the show in Hawk AJTs, and the Sarang helicopter display team are providing the stunt thrills.",15/2/17
40,"Gujarat polls: BJP loses PM Narendra Modi's hometown to Congress AHMEDABAD: Although the BJP retained power in Gujarat, it lost the Unjha assembly constituency in Mehsana district, which includes Prime Minister Narendra Modi's hometown Vadnagar, to Congress.Gujarat, Himachal poll results: Congress candidate Asha Patel defeated BJP nominee and sitting MLA Narayan Patel with a comfortable margin of over 19,000 votes to win the Unjha seat.The 79-year-old BJP veteran had defeated Asha Patel (40) in the 2012 assembly elections.Complete coverage of Gujarat, Himachal Pradesh Assembly Election results 2017However, the picture changed this time following the Patel quota agitation and Thakor community's increasing leaning towards the Congress.Out of the total 2.12 lakh voters of Unjha, over 77,000 are Patidars, while around 50,000 belong to the Thakor community.Know how different communities voted in Gujarat since 1982 Unjha is also known for the Umiya Mata temple, the reigning deity of Kadva Patel sect.Both Modi and Congress president Rahul Gandhi had held poll rallies in Vadnagar.",18/12/17
41,"RSS to protest against violence in Kerala NAGPUR: RSS activists will stage a demonstration against murder of its activists by CPI(M) workers in Kerala on Wednesday. It will take out an awareness rally from RBI Square at 5.30pm and then hold a protest meeting at collectorate at 7pm. Such protests will be held in 150 places across the country to create awareness about the incident in Kerala.Addressing a press conference on Saturday, akhil bharatiya sahapracharak J Nandakumar, said that ever since CPI (M) government had come to power in Kerala eight months ago, twelve activists of RSS had been murdered by CPI(M) workers. “They are not only killing our people but also those belonging to Congress and Muslim League. CPI(M) believes in finishing off its opponents irrespective of their ideology. Its now CPI(M) versus the rest in Kerala,” he added.The RSS leader alleged that the police in Kerala is being controlled by the ruling CPI(M). “In spite of police’ reluctance to register cases, a record 1.75 lakh criminal cases were registered in Kerala in last eight months. There were 11,000 cases of sexual harassment and 7,200 cases of harassment of Dalits,” he said.Nandakumar said that CPI(M) activists did not spare even CPI workers. “A CPI student leader was going to file his nomination for a university election. Activists of SFI, which is students’ wing of CPI(M), stripped and paraded him for the same,” he further said.“What can you expect when the chief minister Pinarayi Vijayan himself was accused of murdering a RSS activist but was let off by the court due to lack of evidence. Kerala is no longer God’s own country but has turned into devil’s country,” Nandkumar said.When asked what central government was doing to stop the violence, the RSS leader said that union home minister Rajnath Singh had himself visited Tellicheri and National Human Rights Commission (NHRC) had sought a report from Kerala chief secretary.",27/2/17
42,"Miscreants break into locked house, loot gold TRICHY: A search is on for a gang who broke into a locked house and made off with 24 sovereigns of gold jewellery in Woraiyur on Friday. Police said that the burglary took place when the owner was away for work.On returning home, Latha, 45, from Perumal Koil Street, Woraiyur, found the front door of her house open and valuables kept in the almirah missing. Police said that the assailants broke open the almirah before stealing her gold ornaments.Police said that the complainant used to lock the door and keep the keys on the doorframe whenever she went out of her house. The police suspect that the miscreants might have sensed this as an opportunity. Based on a complaint, Woraiyur police registered a case and are investigating.Police are also investigating three separate cases of chain-theft incidents after three women filed complaints stating that their chains were stolen during a bus journey. According to the complaints, the three women have lost gold chains weighing seven sovereigns. Pandiammal, 67, of Virudunagar, lost her two-and-a-half sovereigns gold chain as she was travelling to Trichy. A three-sovereigns gold chain was stolen from Bala Shanmugam, 62, of Chennai while Thamizharuvi Manian, 31, from Madurai was robbed of a necklace weighing two sovereigns .",9/12/2017
