ID,Title,Content,Intersection,Union
92,GRP personnel: No GRP at Charbagh railway station to man Holi rush ,"LUCKNOW: Government Railway Police personnel have returned from election duty but have yet not resumed duty at Charbagh railway station. As a result, there was no security at the entrance and exit points or other places, and passengers expressed concern in the light of alert following recent terror attack in Ujjain, Madhya Pradesh, and encounter in Lucknow. At 3pm on Tuesday, TOI found a rush of passengers returning after Holi celebrations. There were so many passengers on all platforms but no GRP personnel was overseeing the area, not even at the three entry exit points fitted with metal and body detectors. Passengers waiting for their trains were also seen sitting in chairs meant for GRP personnel deployed at entry and exit points.","Ujjain, Lucknow, Madhya Pradesh","Madhya Pradesh, Lucknow, Charbagh, LUCKNOW, Ujjain, Charbagh"
93,Another R amp B engineer caught with disproportionate assets ,"GUNTUR: The Anti Corruption Bureau (ACB) conducted simultaneous on properties belonging to Superintending Engineer of Roads Buildings department at various places in Guntur and Krishna districts on Thursday. Under the directives of Andhra Pradesh ACB DG, RP Thakur, ten teams were formed and they began the raids at around 6 am in the morning. Both movable and immovable disproportionate assets worth several crores were unearthed. The accused officer identified as Karampudi Veera Raghavendra Rao (54) works at the Guntur circle office. During his service, he purchased seven plots across Mangalagiri, Guntur and Machilipatnam towns.","GUNTUR, Guntur, Andhra Pradesh, Machilipatnam","GUNTUR, Mangalagiri, Krishna, Andhra Pradesh, Guntur, Machilipatnam"
94,Save sparrow event in zoo today ,"PATNA: The Patna zoo will be the place to be on Sunday for house sparrow lovers as several events are lined up to spread awareness about the bird, whose number is believed to be fast dwindling. House sparrow was declared Bihar's state bird on April 16, 2013. On the eve of World Sparrow Day, the Patna zoo administration in association with The Times of India has organised an event for flying a dummy sparrow through a drone in the zoo at 11am on Sunday. An ongoing photography contest will also conclude on the day. The photography competition began on March 13.","India, Patna, PATNA","Patna, Patna zoo, India, Bihar, PATNA"
95,Blue Whale: Tamil Nadu student ends life cops probe Blue Whale link ,"MADURAI: A 19 year old college student hanged himself at his house on Wednesday, purportedly after taking up the dreaded Blue Whale challenge. Police said Vignesh of Mottamalai in Kalaignar Nagar had pricked his left forearm to draw the image of a whale and written 'Blue Whale' using blue ballpoint pen. A note in Tamil found near the body read: 'Neela thimingalam idhu vilayattu alla vibareetham. Oru murai ulle ponal veliye vara mudiyadhu', roughly translating into 'Blue Whale is not a game, it is dreaded. Once you enter, there is no escape'.","Kalaignar Nagar, MADURAI","Kalaignar Nagar, Tamil Nadu, Mottamalai, MADURAI"
96,Trader's body found hanging in Itaunja ,"LUCKNOW: Body of a trader who had been abducted was found hanging in a room in the under construction railway colony in Itaunja on Thursday. The incident came to light when the victim's son reached the colony in search of his father and found him hanging with both hands tied behind and a roped tied around his neck. According to police, Ram Babu (40) of Newada village of Itaunja lived with his wife, son Ankit and other children. He left home after receiving a call around 5pm on Wednesday by did not return. The family contacted him on his cell number but failed to connect.","Itaunja, LUCKNOW","Itaunja, LUCKNOW, Newada"
97,ACB trap GHMC official for taking bribe ,"HYDERABAD: Anti Corruption Bureau (ACB) sleuths trapped a GHMC official while he was accepting Rs 30,000 bribe from a complainant at Kamat Hotel in Lakdikapul on Tuesday. K Kishan Rao, deputy director of Urban Bio Diversity,West Zone, GHMC, was caught red handed when he accepted the bribe from E Ashok Goud , a civil contractor, for recording details of park development work done by the contractor and forwarding it to the director for sanction of bill. Rao was arrested and he would be produced before the ACB court on Wednesday.","Lakdikapul, HYDERABAD, Kamat Hotel","Lakdikapul, HYDERABAD, Kamat Hotel, West Zone"
98,"Youth stabs girl over unrequited love, commits suicide ","TRICHY: Upset over unrequited love, a 24 year old man stabbed a 17 year old Plus 1 student with a knife in Alunthalaippur village near Lalgudi in Trichy on Saturday morning. Fearing arrest, he ended his life by hanging from a tree in the area. The girl is receiving treatment at the Mahatma Gandhi memorial government hospital (MGMGH) in Trichy. M Vasuki from Alunthalaippur village had gone to attend nature's call early Saturday morning, when she was interrupted by C Manikandan from the same village. The youth forced her to accept his love.","Lalgudi, TRICHY, Alunthalaippur, Trichy","TRICHY, Lalgudi, Alunthalaippur, Trichy"
99,"Army mistakes cracker for grenade, opens fire 1 killed ","SRINAGAR: A crowd of miscreants threw stones at an Army patrol in Beerwah, Budgam district, on Friday afternoon, and hurled a firecracker towards the Armymen. The soldiers, who mistook the bang of the cracker for a grenade, responded with gunfire, wounding two youths, Tanveer Ahmad and Ibrahim Wani. Tanveer, 22, succumbed to injuries at a hospital while Ibrahim was undergoing treatment, the police said. J K police have registered a case against the counter insurgency 53 Rashtriya Rifles unit in connection with the killing, police sources said. The violence was triggered by separatists asking people to observe a shutdown and march to the UN observers office to protest against frequent killings of civilians .","Beerwah, Budgam, SRINAGAR","Beerwah, Budgam, SRINAGAR"
100,Delhi budget: Infrastructure allocation 20 per cent less than last year ,"NEW DELHI: In the past two years, the government focus has shifted away from roads and bridges to schools and hospitals. This is clear from this year allocation to Public Works Department, which is about 20 less than the amount earmarked in last year budget. Sources claim this fund is sufficient for ongoing projects, especially since last year allocation had to be revised midway after several projects were not accorded clearance. We have been given what we had asked for. PWD barely took up any new project last year or received clearance for future projects.","Delhi, NEW DELHI","Delhi, NEW DELHI"
101,Cop who made sleaze calls to woman constable transferred ,"CHENNAI: The assistant commissioner of police who was caught on tape making sleazy comments to a woman constable has been transferred to the city control room as vacancy reserve (VR), considered an obscure posting. Commissioner S George issued the order on Monday after reports of the ACP behaviour appeared in the media on Sunday. The ACP, a 1987 batch direct recruit sub inspector on the verge of retirement, was considered clean until the victim circulated his comments among her friends and they went viral on WhatsApp. The matter was later posted on social networking sites like Facebook. A senior police officer summoned to his office the ACP who maintained that he was innocent and that the voice in the tape was not his.",CHENNAI,CHENNAI
102,"Sacked over nurse s death, AIIMS doctor cries foul ","NEW DELHI: The National Commission for Scheduled Tribes (NSCT) has written to the Union health secretary and AIIMS director for personal attendance on April 19 regarding sacking of a senior resident. A complaint was filed by the senior resident (SR) of anesthesia department after he was sacked for alleged medical negligence that led to the death of a nurse. The SR, who belongs to Angami tribe in Kohima, Nagaland, has alleged that the committee that probed the incident was biased against him, a charge denied by the institute. I have been discriminated for being a minority belonging to a scheduled tribe, and I was made a scapegoat in the whole situation to protect connected people who were at fault. How can I be held responsible for a patient that was shifted against my advice to an unauthorised OT and when my junior resident gave anesthesia against my advice?","Nagaland, NEW DELHI","Nagaland, Kohima, NEW DELHI"
103,Noida to make rain response plan ,"NOIDA: As the city faced flooding after Thursday morning showers, Noida Authority officials said they were planning to put an emergency response system in place for the next monsoon. The Authority will hire experts to design an urban anti waterlogging plan, which will ensure the city does not go under water again, officials told TOI. R K Mishra, ACEO, Noida Authority, said the plan would deal with any heavy downpour. Stormwater management and waterlogging prevention are inadequate and need to be addressed or else the city will incur losses from flooding and precious lives will be at stake, Mishra said. We will invite experts to help us draw up an emergency plan so that the city does not get waterlogged.","Noida, NOIDA","Noida, NOIDA"
104,Smrithi School For Children: A memorable cruise for special kids ,"KOCHI: The students from Smrithi School For Children With Special Needs had an unforgettable day on the cruise ship Costa neoClassica that was docked at Kochi. The entertainment crew was moved to tears by the innocent cheers and appreciation they received from the children on Wednesday. The Italian cruise ship docked at Kochi for a few hours, as part of their tour package. When most of their guests had left the ship for sight seeing, the crew invited the students over for a special day at the ship, during which the entertainers performed for children before they departed for Maldives. Students, aged between 3 and 31, were shocked to see the massive ship which can accommodate as many as 1,700 passengers.","Maldives, KOCHI, Kochi","Kochi, KOCHI, Maldives"
105,No water for Rabi crops as dam storage at a low ,"Nagpur: As the dry spell has brought down levels in dams of the region to a low, there may be no water for the Rabi crop in large tracts of farmland. After Kharif cultivation, which depends on the monsoon, some farmers also go for a second crop under Rabi, during winters. This depends on irrigation facilities, which includes dams and well on farms. The Rabi crop helps farmers get extra income or cover up for losses in Kharif. Water can be spared for irrigation if the level is above 30 in a dam, or else supply of drinking water takes priority.",Nagpur,Nagpur
106,Swachh Survekshan 2017: Garbage dumps trash clean metro image ,"HYDERABAD: Call it an irony if you will but on a day Hyderabad pipped the other metros like Bengaluru, Chennai and Mumbai to hit the 22nd spot on the Swachh Survekshan 2017 chart, scores of garbage dumps raised a stink across the city, putting a big question mark on the city's standing on the cleanliness ratings. Unattended garbage heaps at SR Nagar, East Maredpally, the lane near University College for Women at Koti and the 100 feet road near Madhapur stank to high heaven. Similar scenes were witnessed in the old city area where garbage dumps could be found on Mangalhat Road, Karwan Main Road and on the stretch connecting Puranapul to Ziaguda Mandi. Passersby at Karwan Main Road accused the Greater Hyderabad Municipal Corporation (GHMC) of turning a blind eye to the city's garbage woes and putting the health of denizens at risk. "" The rancid smelling dump can be hazardous for health.","HYDERABAD, Hyderabad, Karwan Main Road","Madhapur, Karwan Main Road, HYDERABAD, Chennai, Hyderabad, Bengaluru, Mangalhat, East Maredpally, SR Nagar, Puranapul, Ziaguda Mandi, Mangalhat Road, Mumbai, Koti"
107,Dengue task force yet to act ,"LUCKNOW: The health department is struggling to follow its own action plan to check vector borne diseases (VBD), despite the high court's strict directions, issued last year following dengue epidemic in the city. Though mosquitoes have started ringing in from every nook and corner and five cases of dengue have been reported since January, the Task Force Committee (TFC) constituted in November for VBD prevention has only met twice so far and not taken any concrete action. This, when the court in October last year had recorded the performance of the health department as a "" complete failure of constitutional machinery"" in preventing, controlling, managing and treating dengue epidemic which infected 1,020 persons and claimed 18 lives. Another 23 deaths were recorded as 'suspected dengue deaths'. When contacted, deputy CMO (Vector borne diseases) Dr Sunil Rawat said, "" We have been taking inter departmental meetings around dengue constantly along with spreading awareness at all levels of the machinery.",LUCKNOW,LUCKNOW
108,PMC elections 2017: PMC polls 2017: Puneites traditionally averse to dynasty politics ,"PUNE: Several politicians in the city relentlessly tried to promote their heirs in politics and handover legacy to them, but a few succeeded because majority of the Puneites revulsion at dynastic politics. Once the centre of freedom movement, stalwarts like Gopal Krishna Gokhale and Lokmanya Bal Gangadhar Tilak led the national movement from Pune. While Gokhale's heirs failed in politics, Tilak's family members could not match his stature. Tilak's son, Shridhar, was not supported by his own followers. Jayantrao his grandson was considered as a prominent figure in the state politics.","Pune, PUNE","Pune, PUNE"
109,Pune based veteran to help shape future military leadership ,"PUNE: Changes in the armed forces training and selection procedure may soon have a Pune touch with three books, written by city based veteran Col Vinay Dalvi (retd), being considered as the base module by Indian Navy and Indian Air Force (IAF) headquarters. In a letter to the veteran, Navy chief Admiral Sunil Lanba and Air Force chief BS Dhanoa have praised Dalvi's research work in the books. Col Dalvi, who has served extensively at the National Defence Academy (NDA), Indian Military Academy (IMA) and Officers Training Academy (OTA), has highlighted issues related to training and selection in the three books he has penned. Both services chiefs have said that concerned directorates are examining issues highlighted in the books, titled Victory India Trilogy. Admiral Lanba, who is also chairman of the chiefs of staff committee (CoSC), said, Specific recommendations from the articles published in the books are being examined by the directorates and I am sure that they will derive valuable inputs from them.","Pune, PUNE, India","Pune, PUNE, India"
110,"Hackers target Malhar fest site, submit 12,000 fake forms","MUMBAI: The website of St Xavier's College's annual youth festival, Malhar, has been targeted by hackers who submitted more than 12,000 bogus applications for volunteers on the portal. The event organisers initially tried to thwart the cyber attack, but when it persisted, they approached the Azad Maidan police. Ritbrata Ghosh (20), a student in charge of the IT systems for the festival, lodged the complaint. In his complaint, he said they invited applications from volunteers on http://www.apply.malharfest.org and started the process on June 13. The complainant told police they required around a thousand volunteers, so they made the announcement online.",MUMBAI,"Azad Maidan, Malhar, MUMBAI"
111,Cops nab 7 persons involved in 17 offences including Spiderman ,"VISAKHAPATNAM: The city police arrested the main accused in several house break in incidents in the city as well as the buyer of stolen property on Friday and recovered 280 grams of gold ornaments out of 345 grams stolen and a 32 inch TV from their possession. The cops also arrested five persons including two juveniles for bike and mobile phone robberies and recovered 11 bikes from their possession. Addressing the media, additional deputy commissioner of police (ADCP) S Varadaraju said that the main accused in house break in cases, Konapureddy Naresh alias Spiderman (21) of Arilova, discontinued his studies after his father death and came to Vizag from Parvathipuram in Vizianagaram district. He began committing offences in 2012 and was arrested once and sent to Vizag central prison. After release in May last year, he again started commiting house break in offences in KRM Colony, Pithapuram Colony and CBM Compound.","KRM Colony, VISAKHAPATNAM, Parvathipuram, Pithapuram Colony, Vizag","Arilova, CBM Compound, KRM Colony, VISAKHAPATNAM, Vizianagaram, Parvathipuram, Pithapuram Colony, Vizag"
112,Fight for rights: Ragpickers want their role defined in new rules ,"NEW DELHI: There is anxiety among waste pickers whether the draft waste management rules 2015 will include their services in the waste management process in cities. Till now, waste management was the state and the private contractors mandate but for the first time this draft mentions the role of waste or rag pickers as people engaged in collection of reusable and recyclable solid waste. But waste pickers are demanding that their right to collect, segregate and recycle waste be properly defined in the draft. The All India Kabadi Mazdoor Mahasangh (AIKMM), an association of close to 40,000 waste pickers nationally and 22,000 from Delhi and NCR have recently submitted their comments to the draft rules. There are more than 3.",NEW DELHI,"NEW DELHI, Delhi, NCR"
113,Recounting tales of suicide warriors,"CHENNAI: Loud music, colurful posters, food stalls galore the usually serene campus of IIT Madras wore a different look on Thursday, day two of the institute's annual cultural festival Saarang, brought by The Times of India. But there was more than music, fun and frolic when renowned writer Anita Nair held forth on a variety of subjects, captivating not only her fans but also history and literature enthusiasts. At Saarang to share her experiences as part of a series of lecture demonstrations, the author of such bestsellers as The Better Man (2000) and Ladies Coupe (2001), spoke about her shortsightedness, her dreams of becoming a writer at a time when writers received little encouragement and the challenges she faced. I have always been in love with the sea and the distant horizon and somehow I associate the horizon with all the things one can achieve in life, said Nair. She spoke about her love for words, her secret joys of reading the dictionary and emphasised the need to build a vast vocabulary to become a good writer.",CHENNAI,CHENNAI
114,Summer break in Telangana board schools starts from April 24 ,"HYDERABAD: Schools affiliated to Telangana board will close for summer holidays from April 24. As per the academic calendar recently released by the school education department for 2017 18, all schools will open on June 12. The next academic year will begin from March 21 and go on till April 23. While the Dasara holidays are scheduled from September 20 to October 4, Christmas holidays will be from December 23 to December 27. Next year, Sankranti holidays have been scheduled from January 12 to January 16.",HYDERABAD,"Telangana, HYDERABAD"
115,BJP neta held for inciting violence in UP ,"SHAHJAHANPUR: Six people, including a BJP member, were on Friday arrested for inciting violence in UP's Lakhimpur Kheri district which witnessed communal clashes on Thursday night after two local youths circulated an objectionable video. Curfew was imposed in the district on Thursday following communal clashes, in which two people had suffered gunshot injuries. All educational institutes in the districts have been closed till further orders by the district administration. Vinod Gupta, who switched over to BJP from Samajwadi Party about two months back, was held for making inflammatory remarks and has been booked under sections 146 (rioting), 147 (punishment for rioting), 148 (Rioting, armed with deadly weapon) of the IPC.","SHAHJAHANPUR, Lakhimpur Kheri, India","SHAHJAHANPUR, Lakhimpur Kheri, UP"
116,Multiplexes may be asked to sell tender coconuts ,"BENGALURU: After placing a cap on ticket prices at Rs 200, the government may allow farmers to sell tender coconuts at multiplexes. Replying to BJP's M K Pranesh in the legislative council on Thursday, municipal administration minister Eshwar Khandre said the objective is to help coconut growers reeling under drought. However, he did not commit on BJP members' demand to restrict the sale of soft drinks in multiplexes. The Tamil Nadu government recently banned sale of aerated beverages in multiplexes on health grounds and said only tender coconut water would be available for movie goers. Home minister G Parameshwara said the CM would take a call on selling of tender coconuts in 1,500 multi plexes in the state.",BENGALURU,"BENGALURU, Tamil Nadu"
117,Kalabhavan Mani's brother and family begin fasting ,"THRISSUR: RLV Ramakrishnan, brother of Kalabhavan Mani, and his family began a fast on Saturday after unveiling the statue of the departed actor in front of Kalagriham, the art and cultural institution set up by Mani in the name of his father at Chenathunadu near Chalakkudy. Several friends and relatives of Mani offered floral tributes in front of the statue built by sculptor Davinchi Suresh. The fast is to protest against the delay in the arrest of those responsible for the death of Mani. According to Ramakrishnan the police inquiry into the death of Mani was a total failure and was only a calculated effort to establish that he had died due to consumption of excessive liquor. It is not clear whether Mani's wife Nimmy will participate in the fast.","Kalagriham, THRISSUR","Kalagriham, THRISSUR, Chalakkudy, Chenathunadu"
118,"Now, international academics may teach at Indian universities ","PUNE: The Ministry of Human Resource and Development (MHRD) has initiated scholarship programmes in higher education to fund the entire course for deserving students in an effort to stop them from seeking options abroad. Union minister Prakash Javadekar said during the 100th convocation ceremony of Savitribai Phule Pune University (SPPU) that the ministry has established the Global Research Interactive Network through which international faculty would be invited to teach in India and share best practices. The MHRD has targeted to invite 600 international faculty members under the programme. The network was launched recently to attract the best foreign academics to Indian universities of excellence. During his address to students at the convocation, Javadekar said, The programme has been launched to facilitate a partnership between higher education institutions in India and other foreign universities.","PUNE, India","PUNE, India, Pune"
119,allotment cancelled: Assotech 4.5 acre allotment in Sec Pi cancelled ,"GREATER NOIDA: The Greater Noida Industrial Development Authority on Thursday said that it had cancelled the allotment of a 4.5 acre group housing plot of Assotech Infrastructure Pvt Ltd in Greater Noida's Sector Pi. According to the Authority, the builder has not carried out any construction on the plot in the past 12 years. The allotment, for constructing residential units in Sector Pi, was made in September 2006. They were allotted 4.5 acres and the project was to be completed by September 2012, said Janardan, additional CEO, GNIDA. Fortunately, no third party rights have been created as the builder has not submitted its building plans so far, he said.","Greater Noida, GREATER NOIDA, Sector Pi","Greater Noida, GREATER NOIDA, Sector Pi"
120,Kalvettu' Ravi ARRESTED: History sheeter 'Kalvettu' Ravi arrested from Washermenpet ,"CHENNAI: Notorious criminal Ravi Sankar alias 'Kalvettu' Ravi, 42, who faces over 20 cases including 6 murders, was arrested for the first time from Washermenpet on Saturday. He has always surrendered in all cases, this is the first time police arrested him. During 2003, he took to committing murders, said police. He had a close link with Balaji alias Kakkathope Balaji, a history sheeter in Muthialpet. Both 'Kalvettu' Ravi and Kakathoppu Balaji were engaged in extortion especially from lorry sheds in North Chennai.","Muthialpet, CHENNAI","North Chennai, CHENNAI, Muthialpet, Washermenpet"
121,UP elections 2017: Martyr Abdul Hameed wife votes but rues political apathy ,"GHAZIPUR: Government staff members stand up with folded hands to greet an elderly woman as she walks into booth number 169 under Jakhanian assembly constituency to cast vote. 93 year old Rasoolan Bi, resident of Dullahpur village, is a well known figure in eastern UP. Wife of Param Vir Chakra awardee Abdul Hamid, Rasoolan Bi is a strong headed woman who doesnt mind taking on politicians. Her strong Bhojpuri dialect, however, is better deciphered by Jamil Alam, her grandson. Around 1pm on Wednesday, Rasoolan stepped out of her house to vote at Dhampur government school which has been named after her husband.","Dhampur government school, Dullahpur, GHAZIPUR","Dhampur, Dullahpur, Jakhanian, GHAZIPUR, UP"
122,"Stop clogging courts with frivolous cases, SC tells government ","NEW DELHI: ""The couldn't care less and insouciant attitude of the Union government with regard to litigation has gone a little too far,"" the Supreme Court said and castigated the Centre for repeatedly filing appeals on identical questions of law despite being fined earlier for clogging the justice delivery system with frivolous cases. Ticking off the Centre for snail paced efforts to streamline its litigation policy, a bench of Justices Madan B Lokur and Deepak Gupta recently used the NDA government's reformist slogan of "" ease of doing business"" to make a sharp point. "" Under the garb of ease of doing business, judiciary is being asked to reform. The boot is really on the other leg,"" the bench said. Pointing to the collateral damage the overcrowding of the judicial system caused other litigants, besides financial liabilities of the government, the court asked when the "" Rip Van Winkleism"" would end. """,NEW DELHI,NEW DELHI
123,35 tonne groundnut gutted in fire in Hapa ,"RAJKOT: Over 35 tonne of groundnut procured at minimum support price (MSP) of Rs 900 per 20kg, by the government, was gutted in a massive fire in the warehouse of Central Warehousing Corporation (CWC) in Hapa at Jamnagar on Thursday. Some stock of groundnut was damaged as water was sprayed to douse the fire in the warehouse. Jamnagar municipal commissioner R B Barad, who is also in charge district collector said, According to our primary estimate, roughly 1,000 bags of groundnut was gutted in the fire. Counting is still on. Our people cant go further inside because of dense smoke from the fire. Chief fire officer of Jamnagar, K K Bishnoi, said ""Four firefighters were used to control the blaze.""","RAJKOT, Jamnagar","Hapa, RAJKOT, Jamnagar"
124,The Fantastico Hunt held in Mumbai ,"Fans across 4 cities reveal the name of the next big thing by Tata Motors in a massive online and on ground clue hunt Key highlights: A massive national digital campaign with on ground legs in 4 cities (Mumbai, Delhi, Bengaluru and Kolkata). Themed as The Fantastico Hunt to share a glimpse of the car's communication thought of It's Fantastico! Each city had one letter of the four lettered name of Tata Motors next passenger vehicle, hidden at a prominent location. Fans were actively engaged on Twitter and other social media channels and handed clues to the locations of the letters. The clues were strategically placed and worded so as to maximize intrigue and participation.","Kolkata, Delhi, Bengaluru, Mumbai","Kolkata, Delhi, Bengaluru, Mumbai"
125,Security beefed up in ECR for Republic Day ,"PATNA: Security measures have been beefed up in all the five divisions of the East Central Railway (ECR) in the run up to the Republic Day. Railway Protection Force (RPF) IG cum ECR chief security commissioner Ravindra Verma reviewed the security measures at a high level meeting held at the ECR headquarters at Hajipur on Tuesday. All the five divisional security commissioners and other security officials attended the meeting. According to Verma , additional forces have been deployed in the vulnerable rail sections to keep a watch on the movement of miscreants. RPF men on train escort duty have been asked to carry out intensive search in every coach of the mail and express trains, he said and added the RPF and GRP were coordinating with each other at Patna Junction and other crowded stations of the ECR.","Hajipur, PATNA","PATNA, Patna, Hajipur"
126,"kerala nun rape case: Kerala nun stays isolated, bishop Franco Mulakkal busy with visitors ","KOTTAYAM: Even as the nun who was allegedly raped by Jalandhar bishop Franco Mulakkal remained isolated in her room at the Kuravilangad convent, the arrested bishop continued to have VIP visitors at the Pala sub jail. A day after Kanjirappally bishop Mar Mathew Arackal visited him, K M Mani who represents Pala constituency in the assembly, called on Mulakkal. Visiting someone who has been incarcerated was a service according to the Gospels, Mani said. "" I visited the bishop based on that call,"" said Mani. Sources said Mani made up his mind to visit Mulakkal after his political rival P C George MLA and Kanjirappally bishop called on him.","KOTTAYAM, Mulakkal, kerala","KOTTAYAM, Kuravilangad, Kanjirappally, Kerala, Pala, kerala"
127,Strong community role pushes up slew of villages in panchayat ranking ,"NEW DELHI: Villages that pull together forge ahead. A study seeking to establish reasons behind good and bad performance of panchayats has cited the example of two villages in Ahmednagar district in Maharashtra. Chandrapur and Dadh Khurd are so strong on social participation that they celebrate festivals together. Like, "" one village, one Ganapati"" one Ganesh idol for the whole village. The study says that avoiding the tradition of other villages, where every household performs separate idol worship, cuts down on pollution during immersion. ""","Chandrapur, Dadh Khurd, NEW DELHI, Ahmednagar, Maharashtra","Chandrapur, Dadh Khurd, NEW DELHI, Ahmednagar, Maharashtra"
128,FIR against bus driver for flogging woman in Jaipur ,"JAIPUR: A day after a video of a woman passenger being thrashed and flogged inside a city bus on suspicion of being a pickpocket by the driver went viral on social media, the Jaipur police on Friday registered an FIR against the driver and recorded statements of the conductor. Deputy commissioner of police (Jaipur East) Gaurav Yadav told TOI that Gandhi Nagar police station was directed to take a suo moto action in the case after the heinous crime came to the fore. The Gandhi Nagar police have registered a case against the driver, Het Ram, under Section 323 (Voluntarily causing hurt), 341 (Wrongful restraint) and 354 (Assault or criminal force to woman with intent to outrage her modesty). In the chilling video, Het Ram, can be seen kicking a woman, who had just entered the bus from Narayn Singh Circle. The driver is then seen repeatedly flogging her with a belt before eventually kicking her out of the stationary bus.","JAIPUR, Jaipur","Gandhi Nagar, JAIPUR, Jaipur, Jaipur East, Narayn Singh Circle"
129,Youngest pellet victim in J&K: Youngest pellet victim in J&K: 19 month old girl ,"SRINAGAR: Hiba, a 19 month old baby, had stopped crying after writhing in pain for several hours due to profuse bleeding in her eye. With a bandaged right eye, she was calmly sleeping on the bed in ward 19 of the ophthalmology department of the SMHS hospital on Monday afternoon. There are a dozen people admitted with pellet injuries in Srinagar's main hospital Hiba Jan who was born last year in March is the youngest pellet victim. She suffered the injury in the cornea of her right eye when security forces fired pellets to disperse a stone pelting mob on Sunday at Kapran in Shopian on Sunday. The killing of six terrorists in an encounter in Shopian district on Sunday had triggered violent protests in Kapran area where Masarat Jan lives with her two siblings and her two children, five year old son and 19 month old daughter Hiba.""","Kapran, Srinagar, SRINAGAR","Kapran, J&K, Shopian, SRINAGAR, Srinagar"
130,Bike borne youth tries to abduct 8 year old girl ,"JAIPUR: A bike borne unidentified man allegedly tried to abduct an eight year old girl when she was returning to her house from a nearby shop in Gopalpura area of the city on Thursday morning. The parents of the minor girl told Bajaj Nagar police station that their daughter had gone out to buy milk and was returning when an unidentified youth riding on motorcycle asked the girl about her school. During the conversation, the man forcefully made her to sit on his bike and rode towards a different direction when an auto rickshaw driver had a quarrel with the suspect. The girl leaped out of the bike and ran towards her house. Additional DCP (Jaipur East) Hanuman Prasad told TOI that the minor girl alleged that she was jabbed by some sharped weapon and has sustained minor injuries which are examined.","Gopalpura, Jaipur East, Bajaj Nagar, JAIPUR","Gopalpura, Jaipur East, Bajaj Nagar, JAIPUR"
131,Minister opens adolescent cell ,"PATNA: State social welfare department minister Kumari Manju Verma inaugurated an adolescent cell to mark the World Menstrual Hygiene Day on Monday. The newly opened cell will function under Women Development Corporation (WDC). It will provide linkage for better management of several government programmes for adolescents being run by different departments of the state government. The cell will also work towards creating awareness about menstrual hygiene among adolescent girls in the state. As per National Family Health Survey 4 data, only 31 of women in Bihar use sanitary pads.","Bihar, PATNA","Bihar, PATNA"
132,"For unity, clerics settle for Aug 22 as Eid day ","Nagpur: Faced with an unwanted situation of observing two Eid-ul-Zuhas in the city, the two popular sects among Muslims. Barelvi and Deobandi have decided to celebrate the annual festival on August 22 (Wednesday). Lack of consensus over sighting of moon had led to lot of confusion within the community at large. As per the Islamic calendar, the 10th day (Eid day) of the month Zilhaj fell on August 22. But, when no shahdad(witness) came, the Shahi Imam of Delhi's Jama Masjid declared that the Eid would be celebrated on August 23. Last week, press releases mentioning different dates issued by several hilal committees from across the country too were circulated on social media, leaving members from both sides puzzled.","Delhi, Jama Masjid , Nagpur","Delhi, Jama Masjid, Nagpur"
133,Ladies toilets at Fergusson College for after hour use,"Pune: Fergusson College has constructed special toilets for those who stay back in college for various academic and cultural activities. The existing washrooms are locked after 6pm as security guards finish their duties and leave the premises. Students staying back for rehearsals of cultural activities or those who visit libraries on Sundays would face problems as these washrooms were locked. The management said the newly constructed washrooms would be located in the common areas on the college premises and will be open 24X7. About three months ago, a group of students led by Sandhya Sonawane from Fergusson College had raised this issue at the college development committee meeting.",Pune,"Pune, Fergusson College"
134,Dakshina Kannada government school gets PM Modi appreciation ,"MANGALURU: Prime Minister Narendra Modi has appreciated the efforts of a government school in Malali village of Bantwal in Dakshina Kannada district for a special initiative successfully implemented by its students to conserve water and protect rainforests. A project was launched in 2016 with students digging up around 250 water percolation pits and also building five kattas (check dams across rivers and streams) in Gurupur village, about 20 km away from the city. K Padmashree, a science teacher in the school, was the inspiration for children, who after the completion of their project, wrote to the Prime Minister. The initiative in 2017 began right before the summer holidays, when 128 students were introduced to water conservation and rainwater harvesting. Students are motivated to dig at least one small percolation pit near their houses."," Dakshina Kannada, Bantwal, Malali, MANGALURU, Gurupur"," Dakshina Kannada, Bantwal, Malali, MANGALURU, Gurupur"
135,Use of skin creams not risk free ,"VADODARA: Dermatologists believe that some ointments have no business being in the open market, but topical steroid combinations are sold unrestricted to anyone complaining of itching, soreness, acne or any common skin complaint. Also, known for their skin lightening effect, these harmful steroids are widely used by many. In 2014 Indian Association of Dermatologists, Venereologist and Leperologists (IADVL) formed a Task Force Against Topical Steroid Abuse (TFATSA) to convince the Drug Controller General of India (DCGI) to ban the sale of these creams without prescription. While the DCGI earlier this month issued a directive to all the state drug controllers to maintain strict vigil on topical steroid combination drugs, doctors rue that situation remains unchanged. "" For doctors prescribing corticosteroids is a daily practice.",VADODARA,"India, VADODARA"
